,year,make,model,body_styles
0,2021,Acura,ILX,"[""Sedan""]"
1,2021,Acura,RDX,"[""SUV""]"
2,2021,Acura,TLX,"[""Sedan""]"
3,2021,Alfa Romeo,Giulia,"[""Sedan""]"
4,2021,Alfa Romeo,Stelvio,"[""SUV""]"
5,2021,Audi,A6 allroad,"[""Wagon""]"
6,2021,Audi,A7,"[""Sedan""]"
7,2021,Audi,Q3,"[""SUV""]"
8,2021,Audi,Q5,"[""SUV""]"
9,2021,Audi,Q8,"[""SUV""]"
10,2021,Audi,S5,"[""Convertible"", ""Sedan"", ""Coupe""]"
11,2021,Audi,S6,"[""Sedan""]"
12,2021,BMW,3 Series,"[""Sedan""]"
13,2021,BMW,X1,"[""SUV""]"
14,2021,BMW,X3,"[""SUV""]"
15,2021,BMW,X5,"[""SUV""]"
16,2021,BMW,X7,"[""SUV""]"
17,2021,Buick,Enclave,"[""SUV""]"
18,2021,Buick,Encore,"[""SUV""]"
19,2021,Buick,Encore GX,"[""SUV""]"
20,2021,Buick,Envision,"[""SUV""]"
21,2021,Cadillac,CT4,"[""Sedan""]"
22,2021,Cadillac,CT5,"[""Sedan""]"
23,2021,Cadillac,Escalade,"[""SUV""]"
24,2021,Cadillac,Escalade ESV,"[""SUV""]"
25,2021,Cadillac,XT4,"[""SUV""]"
26,2021,Cadillac,XT5,"[""SUV""]"
27,2021,Cadillac,XT6,"[""SUV""]"
28,2021,Chevrolet,Blazer,"[""SUV""]"
29,2021,Chevrolet,Bolt EV,"[""Hatchback""]"
30,2021,Chevrolet,Camaro,"[""Coupe""]"
31,2021,Chevrolet,Colorado Crew Cab,"[""Pickup""]"
32,2021,Chevrolet,Colorado Extended Cab,"[""Pickup""]"
33,2021,Chevrolet,Corvette,"[""Convertible"", ""Coupe""]"
34,2021,Chevrolet,Equinox,"[""SUV""]"
35,2021,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
36,2021,Chevrolet,Malibu,"[""Sedan""]"
37,2021,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
38,2021,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]"
39,2021,Chevrolet,Silverado 2500 HD Double Cab,"[""Pickup""]"
40,2021,Chevrolet,Silverado 2500 HD Regular Cab,"[""Pickup""]"
41,2021,Chevrolet,Silverado 3500 HD Crew Cab,"[""Pickup""]"
42,2021,Chevrolet,Spark,"[""Hatchback""]"
43,2021,Chevrolet,Suburban,"[""SUV""]"
44,2021,Chevrolet,Tahoe,"[""SUV""]"
45,2021,Chevrolet,Trailblazer,"[""SUV""]"
46,2021,Chevrolet,Traverse,"[""SUV""]"
47,2021,Chevrolet,Trax,"[""SUV""]"
48,2021,Chrysler,300,"[""Sedan""]"
49,2021,Chrysler,Pacifica,"[""Van/Minivan""]"
50,2021,Chrysler,Voyager,"[""Van/Minivan""]"
51,2021,Dodge,Challenger,"[""Coupe""]"
52,2021,Dodge,Charger,"[""Sedan""]"
53,2021,Dodge,Durango,"[""SUV""]"
54,2021,FIAT,500X,"[""SUV""]"
55,2021,Ford,Bronco Sport,"[""SUV""]"
56,2021,Ford,EcoSport,"[""SUV""]"
57,2021,Ford,Edge,"[""SUV""]"
58,2021,Ford,Escape,"[""SUV""]"
59,2021,Ford,Expedition,"[""SUV""]"
60,2021,Ford,Expedition MAX,"[""SUV""]"
61,2021,Ford,Explorer,"[""SUV""]"
62,2021,Ford,F150 SuperCrew Cab,"[""Pickup""]"
63,2021,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
64,2021,Ford,Mustang,"[""Coupe"", ""Convertible""]"
65,2021,Ford,Ranger SuperCrew,"[""Pickup""]"
66,2021,Ford,Transit Connect Cargo Van,"[""Van/Minivan""]"
67,2021,Genesis,G70,"[""Sedan""]"
68,2021,Genesis,G80,"[""Sedan""]"
69,2021,Genesis,G90,"[""Sedan""]"
70,2021,Genesis,GV80,"[""SUV""]"
71,2021,GMC,Acadia,"[""SUV""]"
72,2021,GMC,Canyon Crew Cab,"[""Pickup""]"
73,2021,GMC,Canyon Extended Cab,"[""Pickup""]"
74,2021,GMC,Sierra 1500 Crew Cab,"[""Pickup""]"
75,2021,GMC,Sierra 2500 HD Crew Cab,"[""Pickup""]"
76,2021,GMC,Sierra 3500 HD Crew Cab,"[""Pickup""]"
77,2021,GMC,Terrain,"[""SUV""]"
78,2021,GMC,Yukon,"[""SUV""]"
79,2021,GMC,Yukon XL,"[""SUV""]"
80,2021,Honda,Accord,"[""Sedan""]"
81,2021,Honda,Accord Hybrid,"[""Sedan""]"
82,2021,Honda,Civic,"[""Hatchback"", ""Sedan""]"
83,2021,Honda,Civic Type R,"[""Hatchback""]"
84,2021,Honda,CR-V,"[""SUV""]"
85,2021,Honda,CR-V Hybrid,"[""SUV""]"
86,2021,Honda,HR-V,"[""SUV""]"
87,2021,Honda,Insight,"[""Sedan""]"
88,2021,Honda,Odyssey,"[""Van/Minivan""]"
89,2021,Honda,Passport,"[""SUV""]"
90,2021,Honda,Pilot,"[""SUV""]"
91,2021,Honda,Ridgeline,"[""Pickup""]"
92,2021,Hyundai,Accent,"[""Sedan""]"
93,2021,Hyundai,Elantra,"[""Sedan""]"
94,2021,Hyundai,Ioniq Electric,"[""Hatchback""]"
95,2021,Hyundai,Ioniq Hybrid,"[""Hatchback""]"
96,2021,Hyundai,Ioniq Plug-in Hybrid,"[""Hatchback""]"
97,2021,Hyundai,Kona,"[""SUV""]"
98,2021,Hyundai,Kona Electric,"[""SUV""]"
99,2021,Hyundai,Palisade,"[""SUV""]"
100,2021,Hyundai,Santa Fe,"[""SUV""]"
101,2021,Hyundai,Sonata,"[""Sedan""]"
102,2021,Hyundai,Sonata Hybrid,"[""Sedan""]"
103,2021,Hyundai,Tucson,"[""SUV""]"
104,2021,Hyundai,Veloster,"[""Coupe""]"
105,2021,Hyundai,Venue,"[""SUV""]"
106,2021,INFINITI,Q50,"[""Sedan""]"
107,2021,INFINITI,QX50,"[""SUV""]"
108,2021,INFINITI,QX80,"[""SUV""]"
109,2021,Jaguar,E-PACE,"[""SUV""]"
110,2021,Jaguar,I-PACE,"[""SUV""]"
